time(ns),x,y,z,qw,qx,qy,qz
1718164067200574976,-62.3563,291.002,14.254,0.730348,0.00119277,-0.00389189,-0.683063
1718164067300658944,-62.3336,290.558,14.2503,0.730156,0.00118154,-0.00421667,-0.683267
1718164067400748032,-62.3106,290.112,14.2468,0.730032,0.000948366,-0.00442723,-0.683398
1718164067500857088,-62.2873,289.664,14.2444,0.729893,0.000713725,-0.00444125,-0.683547
1718164067600901888,-62.2638,289.215,14.2416,0.729587,0.000311159,-0.0045243,-0.683873
1718164067700911104,-62.2419,288.763,14.2382,0.729234,0.000148581,-0.00478495,-0.684248
1718164067800913920,-62.2203,288.31,14.2354,0.728793,-1.0252e-06,-0.00485273,-0.684717
1718164067900913920,-62.1998,287.855,14.2332,0.728333,-0.000229259,-0.00534213,-0.685202
1718164068000911872,-62.1793,287.398,14.232,0.727865,-0.000581825,-0.00570644,-0.685697
1718164068100910080,-62.1581,286.94,14.231,0.727354,-0.00106998,-0.00552878,-0.68624
1718164068200904960,-62.1368,286.479,14.2292,0.726805,-0.00154664,-0.00526994,-0.686822
1718164068300887040,-62.1169,286.017,14.2274,0.726342,-0.00220848,-0.00531004,-0.687309
1718164068400864000,-62.098,285.554,14.2266,0.725896,-0.00273252,-0.00551441,-0.687776
1718164068500840960,-62.08,285.089,14.2268,0.725436,-0.00275343,-0.00532655,-0.688263
1718164068600818944,-62.0629,284.622,14.2269,0.724887,-0.00268413,-0.00514572,-0.688843
1718164068700793088,-62.0458,284.156,14.2273,0.724356,-0.00309019,-0.00525536,-0.689399
1718164068800752128,-62.029,283.69,14.2272,0.723887,-0.0036907,-0.00533618,-0.689888
1718164068900698112,-62.0164,283.22,14.2271,0.72341,-0.00279649,-0.00583565,-0.690389
1718164069000647936,-62.0037,282.747,14.2259,0.722904,-0.00173916,-0.00519951,-0.690926
1718164069100600064,-61.9878,282.275,14.2241,0.722441,-0.00173666,-0.00425017,-0.691417
1718164069200560896,-61.9712,281.803,14.2246,0.722165,-0.00218961,-0.00356922,-0.691708
1718164069300531968,-61.9563,281.33,14.2268,0.721934,-0.00256871,-0.00321243,-0.69195
1718164069400509952,-61.9453,280.856,14.2269,0.72161,-0.00167894,-0.00336854,-0.692289
1718164069500476928,-61.9408,280.384,14.2228,0.721356,-0.000852726,-0.00563944,-0.69254
1718164069600460032,-61.9315,279.912,14.2192,0.720967,-0.00140232,-0.00702919,-0.692932
